"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Glacier","Region","Pole","Domain","Area","Scenario","Abundance_Class"
"6027",402,446.6875,14.4331658883784,442.709267988924,10.175584972166,4.58826443240419,0.971970679891593,35.6769267371586,"Canada","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"61",70,70,0,70,3.3466401061363,2.51524836118127,0.861262036509489,7.20783248392133,"Canada","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"62",757,893.8125,25.3776973137325,923.521379895261,14.9744763578254,4.95745316462498,0.96814620770061,31.393436316817,"Canada","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"63",220,234.615384615385,8.64682826952785,227.446849428991,7.11304628930453,2.85893366594908,0.812759182291684,5.34071583450252,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"6427",101,103.5,3.1598897736539,102.497970547842,4.99587717828985,3.07400741038089,0.910516881507791,11.1752922433863,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"65",203,205.115384615385,2.01853048770829,206.596954286301,6.6050148863192,3.43801265965071,0.929962440141927,14.278053119304,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"6627",253,262.375,5.16609246125413,263.137400386105,7.61592272395737,3.62370450885204,0.936405340776892,15.7245909045871,"Kangerlussuaq","Greenland","Arctic","18S",NA,0,"Total"
"6727",145,146.4,1.61790050657645,148.03087174547,5.85073335785713,3.13581667993721,0.921237682692664,12.6964268470915,"Kangerlussuaq","Greenland","Arctic","18S",NA,0,"Total"
"6827",156,158.571428571429,2.5151518761534,159.153697837416,6.21130680035442,3.36859819900085,0.916468565025451,11.9715410169201,"Kangerlussuaq","Greenland","Arctic","18S",NA,0,"Total"
"6927",105,105,0.0829355585880199,105.192741787058,5.00708817945651,3.09253398201824,0.897131173726918,9.72111801242236,"Storglaciären","Sweden","Arctic","18S",NA,0,"Total"
"7027",121,121.75,1.42293532203616,121.763142087023,5.0248940233479,3.61771096590819,0.948616547493378,19.4615182751904,"Storglaciären","Sweden","Arctic","18S",NA,0,"Total"
"7127",62,62,0,62,3.29221956701241,2.98179861014782,0.924830590810061,13.3032840190772,"Storglaciären","Sweden","Arctic","18S",NA,0,"Total"
"72",122,125,4.17731971484108,123.275690357628,4.56323553802532,3.95584041279698,0.968570499953173,31.8172417159066,"Midre Lovenbreen","Svalbard","Arctic","18S",NA,0,"Total"
"73",136,136,0,136,4.83553026473586,4.22188172878361,0.977786786823528,45.0182507166144,"Midre Lovenbreen","Svalbard","Arctic","18S",NA,0,"Total"
"74",135,135.5,1.02700318760726,135.732298114065,5.22264768995838,3.88225948415864,0.953863545069056,21.6748339571554,"Midre Lovenbreen","Svalbard","Arctic","18S",NA,0,"Total"
"76",56,56,0,56,2.86605752110555,2.53075166240471,0.851524220683556,6.73510524480037,"Taylor","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"77",57,57,0.495594627783352,57.1315789473684,2.82543090846101,1.98695814723443,0.697552556043007,3.30635956752273,"Taylor","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"78",78,78,0.49678453256404,78.1648936170213,4.30299671765423,2.62532664798211,0.881962284798349,8.47186848958941,"Canada","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"79",61,61,0,61,2.32590542919822,3.02647139607296,0.909229712259088,11.0168208660342,"Canada","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"81",75,75,0.165551826952793,75.1807640923394,4.2489144584522,2.50398551278498,0.872296188618849,7.83061984747935,"Canada","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"82",100,100.25,0.736202840810843,100.497631802721,4.85700938314812,2.8485436570474,0.894760549153512,9.50214004307842,"Canada","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"83",123,123.5,1.02696439589956,123.721767112802,5.46396163413799,2.94445206298465,0.886362094050543,8.79988056489507,"Canada","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"86",217,217.6,0.95085682722603,218.894714525037,7.35610868888889,4.01398680260551,0.960306555928887,25.1930771794065,"Margin","Greenland","Arctic","18S",NA,0,"Total"
"87",196,203.8,5.79465841471935,200.440209141508,6.93636377687955,3.89679398399783,0.961169910566115,25.7532242284088,"Margin","Greenland","Arctic","18S",NA,0,"Total"
"88",236,241.666666666667,3.87073580245478,242.619983523476,7.64099265639458,4.10049514872895,0.965338394565267,28.8503659151908,"Margin","Greenland","Arctic","18S",NA,0,"Total"
"89",212,213.95652173913,1.95482502205649,215.341284455482,7.23420058274225,3.76870169325852,0.94090117425857,16.9208099730307,"Margin","Greenland","Arctic","18S",NA,0,"Total"
"90",174,175.909090909091,2.15711384110237,176.003745959712,6.56404786953498,2.75603081910959,0.778201886322229,4.50860461984273,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"91",164,167.111111111111,3.10143236182423,166.023683952554,6.29060258600257,2.68831471315903,0.807031659410747,5.18219722958894,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"92",158,159.875,2.25679779953093,159.416585712186,6.23507699577817,2.89356750191325,0.855860466929435,6.93772193302751,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"93",132,132.75,1.25549126350421,133.178166113649,5.65320679987671,3.11934999729902,0.907026427403754,10.755744584998,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"94",77,77,0,77,4.30342660207892,2.37837930210038,0.801155369701734,5.02905207196194,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"95",149,149.2,0.621300202010885,149.408993766738,6.07650168824846,3.19417000862837,0.908013895240597,10.8712071525974,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"96",112,112,0,112,4.20458932936041,3.40535624082521,0.9200633837072,12.5099115571404,"Taylor","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"97",94,94,0.497333314319396,94.1377952755905,4.66583066312701,2.25378575733052,0.685662728295447,3.18129630182674,"Taylor","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"98",48,48,0,48,2.29128784747792,2.24139419633028,0.746494454274665,3.94468687909285,"Taylor","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"99",90,90,0.165738154335292,90.1455223880597,4.68701617040699,2.41962071413782,0.763071594467726,4.22068429386269,"Taylor","McMurdo_Dry_Valleys","Antarctic","18S",NA,0,"Total"
"15827",88,88,0.124287743489928,88.2991545189504,3.49202315825057,3.70377373052157,0.957025331367194,23.2695220652994,"Canada","McMurdo_Dry_Valleys","Antarctic","16S","Pole",1,"Abundant"
"15027",87,87,0.165706043872076,87.2308454810496,3.47548426744191,3.70773250370121,0.961118962417733,25.7194782388237,"Canada","McMurdo_Dry_Valleys","Antarctic","16S","Pole",1,"Abundant"
"15327",142,149.090909090909,5.29370512653557,149.934138056575,5.80674905085432,3.69639596843178,0.941223065866086,17.0134767104671,"Canada","McMurdo_Dry_Valleys","Antarctic","16S","Pole",1,"Abundant"
"16129",162,165.5,3.444674605564,165.419121694194,5.81123524301069,4.29787710600326,0.976027467726132,41.7144083309913,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","16S","Pole",1,"Abundant"
"16227",159,159.272727272727,0.658536261641497,159.920978109094,6.10802465838986,3.85276982458851,0.937605511865635,16.0270567144732,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","16S","Pole",1,"Abundant"
"17327",51,51,0.495073771488337,51.2285998597824,2.55317701014475,2.61547268601939,0.837049818393855,6.13684495557684,"Commonwealth","McMurdo_Dry_Valleys","Antarctic","16S","Pole",1,"Abundant"
