"Site1" "Site2" "RCb"
"274" "11" "44" 2
"275" "11" "45" 2
"276" "11" "46" 2
"277" "11" "466" 2
"278" "11" "467" 2
"279" "11" "468" 2
"280" "11" "469" 2
"281" "11" "472" 2
"282" "11" "473" 2
"283" "11" "474" 2
"284" "11" "5" 2
"285" "11" "6" 2
"286" "11" "60" 2
"287" "11" "62" 2
"288" "11" "64" 2
"289" "11" "66" 2
"290" "11" "67" 2
"291" "11" "68" 2
"292" "11" "69" 2
"293" "11" "7" 2
"294" "11" "70" 2
"295" "12" "14" 2
"296" "12" "15" 2
"297" "12" "150" 2
"298" "12" "151" 2
"299" "12" "152" 2
"300" "12" "153" 2
"301" "12" "154" 2
"302" "12" "155" 2
"303" "12" "156" 2
"304" "12" "157" 2
"305" "12" "158" 2
"306" "12" "159" 2
"307" "12" "16" 2
"308" "12" "160" 2
"309" "12" "161" 2
"310" "12" "162" 2
"311" "12" "163" 2
"312" "12" "166" 2
"313" "12" "168" 2
"314" "12" "17" 2
"315" "12" "172" 2
"316" "12" "173" 2
"317" "12" "174" 2
"318" "12" "175" 2
"319" "12" "176" 2
"320" "12" "177" 2
"321" "12" "178" 2
"322" "12" "179" 2
"323" "12" "18" 2
"324" "12" "2" 2
"325" "12" "22" 2
"326" "12" "23" 2
"327" "12" "24" 2
"328" "12" "25" 2
"329" "12" "26" 2
"330" "12" "28" 2
"331" "12" "29" 2
"332" "12" "3" 2
"333" "12" "30" 2
"334" "12" "31" 2
"335" "12" "32" 2
"336" "12" "33" 2
"337" "12" "34" 2
"338" "12" "35" 2
"339" "12" "36" 2
"340" "12" "37" 2
"341" "12" "38" 2
"342" "12" "4" 2
"343" "12" "41" 2
"344" "12" "43" 2
"345" "12" "44" 2
"346" "12" "45" 2
"347" "12" "46" 2
"348" "12" "466" 2
"349" "12" "467" 2
"350" "12" "468" 2
"351" "12" "469" 2
"352" "12" "472" 2
"353" "12" "473" 2
"354" "12" "474" 2
"355" "12" "5" 2
"356" "12" "6" 2
"357" "12" "60" 2
"358" "12" "62" 2
"359" "12" "64" 2
"360" "12" "66" 2
"361" "12" "67" 2
"362" "12" "68" 2
"363" "12" "69" 2
"364" "12" "7" 2
"365" "12" "70" 2
"366" "14" "15" 2
"367" "14" "150" 2
"368" "14" "151" 2
"369" "14" "152" 2
"370" "14" "153" 2
"371" "14" "154" 2
"372" "14" "155" 2
"373" "14" "156" 2
"374" "14" "157" 2
"375" "14" "158" 2
"376" "14" "159" 2
"377" "14" "16" 2
"378" "14" "160" 2
"379" "14" "161" 2
"380" "14" "162" 2
"381" "14" "163" 2
"382" "14" "166" 2
"383" "14" "168" 2
"384" "14" "17" 2
"385" "14" "172" 2
"386" "14" "173" 2
"387" "14" "174" 2
"388" "14" "175" 2
"389" "14" "176" 2
"390" "14" "177" 2
"391" "14" "178" 2
"392" "14" "179" 2
"393" "14" "18" 2
"394" "14" "2" 2
"395" "14" "22" 2
"396" "14" "23" 2
"397" "14" "24" 2
"398" "14" "25" 2
"399" "14" "26" 2
"400" "14" "28" 2
"401" "14" "29" 2
"402" "14" "3" 2
"403" "14" "30" 2
"404" "14" "31" 2
"405" "14" "32" 2
"406" "14" "33" 2
"407" "14" "34" 2
"408" "14" "35" 2
"409" "14" "36" 2
"410" "14" "37" 2
"411" "14" "38" 2
"412" "14" "4" 2
"413" "14" "41" 2
"414" "14" "43" 2
"415" "14" "44" 2
"416" "14" "45" 2
"417" "14" "46" 2
"418" "14" "466" 2
"419" "14" "467" 2
"420" "14" "468" 2
"421" "14" "469" 2
"422" "14" "472" 2
"423" "14" "473" 2
"424" "14" "474" 2
"425" "14" "5" 2
"426" "14" "6" 2
"427" "14" "60" 2
"428" "14" "62" 2
"429" "14" "64" 2
"430" "14" "66" 2
"431" "14" "67" 2
"432" "14" "68" 2
"433" "14" "69" 2
"434" "14" "7" 2
"435" "14" "70" 2
"436" "15" "150" 2
"437" "15" "151" 2
"438" "15" "152" 2
"439" "15" "153" 2
"440" "15" "154" 2
"441" "15" "155" 2
"442" "15" "156" 2
"443" "15" "157" 2
"444" "15" "158" 2
"445" "15" "159" 2
"446" "15" "16" 2
"447" "15" "160" 2
"448" "15" "161" 2
"449" "15" "162" 2
"450" "15" "163" 2
"451" "15" "166" 2
"452" "15" "168" 2
"453" "15" "17" 2
"454" "15" "172" 2
"455" "15" "173" 2
"456" "15" "174" 2
"457" "15" "175" 2
"458" "15" "176" 2
"459" "15" "177" 2
"460" "15" "178" 2
"461" "15" "179" 2
"462" "15" "18" 2
"463" "15" "2" 2
"464" "15" "22" 2
"465" "15" "23" 2
"466" "15" "24" 2
"467" "15" "25" 2
"468" "15" "26" 2
"469" "15" "28" 2
"470" "15" "29" 2
"471" "15" "3" 2
"472" "15" "30" 2
"473" "15" "31" 2
"474" "15" "32" 2
"475" "15" "33" 2
"476" "15" "34" 2
"477" "15" "35" 2
"478" "15" "36" 2
"479" "15" "37" 2
"480" "15" "38" 2
"481" "15" "4" 2
"482" "15" "41" 2
"483" "15" "43" 2
"484" "15" "44" 2
"485" "15" "45" 2
"486" "15" "46" 2
"487" "15" "466" 2
"488" "15" "467" 2
"489" "15" "468" 2
"490" "15" "469" 2
"491" "15" "472" 2
"492" "15" "473" 2
"493" "15" "474" 2
"494" "15" "5" 2
"495" "15" "6" 2
"496" "15" "60" 2
"497" "15" "62" 2
"498" "15" "64" 2
"499" "15" "66" 2
"500" "15" "67" 2
"501" "15" "68" 2
"502" "15" "69" 2
"503" "15" "7" 2
"504" "15" "70" 2
"505" "150" "151" 2
"506" "150" "152" 2
"507" "150" "153" 2
"508" "150" "154" 2
"509" "150" "155" 2
"510" "150" "156" 2
"511" "150" "157" 2
"512" "150" "158" 2
"513" "150" "159" 2
"514" "150" "16" 2
"515" "150" "160" 2
"516" "150" "161" 2
"517" "150" "162" 2
"518" "150" "163" 2
"519" "150" "166" 2
"520" "150" "168" 2
"521" "150" "17" 2
"522" "150" "172" 2
"523" "150" "173" 2
"524" "150" "174" 2
"525" "150" "175" 2
"526" "150" "176" 2
"527" "150" "177" 2
"528" "150" "178" 2
"529" "150" "179" 2
"530" "150" "18" 2
"531" "150" "2" 2
"532" "150" "22" 2
"533" "150" "23" 2
"534" "150" "24" 2
"535" "150" "25" 2
"536" "150" "26" 2
"537" "150" "28" 2
"538" "150" "29" 2
"539" "150" "3" 2
"540" "150" "30" 2
"541" "150" "31" 2
"542" "150" "32" 2
"543" "150" "33" 2
"544" "150" "34" 2
"545" "150" "35" 2
"546" "150" "36" 2
"547" "150" "37" 2
"548" "150" "38" 2
"549" "150" "4" 2
"550" "150" "41" 2
"551" "150" "43" 2
"552" "150" "44" 2
"553" "150" "45" 2
"554" "150" "46" 2
"555" "150" "466" 2
"556" "150" "467" 2
"557" "150" "468" 2
"558" "150" "469" 2
"559" "150" "472" 2
"560" "150" "473" 2
"561" "150" "474" 2
"562" "150" "5" 2
"563" "150" "6" 2
"564" "150" "60" 2
"565" "150" "62" 2
"566" "150" "64" 2
"567" "150" "66" 2
"568" "150" "67" 2
"569" "150" "68" 2
"570" "150" "69" 2
"571" "150" "7" 2
"572" "150" "70" 2
"573" "151" "152" 2
"574" "151" "153" 2
"575" "151" "154" 2
"576" "151" "155" 2
"577" "151" "156" 2
"578" "151" "157" 2
"579" "151" "158" 2
"580" "151" "159" 2
"581" "151" "16" 2
"582" "151" "160" 2
"583" "151" "161" 2
"584" "151" "162" 2
"585" "151" "163" 2
"586" "151" "166" 2
"587" "151" "168" 2
"588" "151" "17" 2
"589" "151" "172" 2
"590" "151" "173" 2
"591" "151" "174" 2
"592" "151" "175" 2
"593" "151" "176" 2
"594" "151" "177" 2
"595" "151" "178" 2
"596" "151" "179" 2
"597" "151" "18" 2
"598" "151" "2" 2
"599" "151" "22" 2
"600" "151" "23" 2
"601" "151" "24" 2
"602" "151" "25" 2
"603" "151" "26" 2
"604" "151" "28" 2
"605" "151" "29" 2
"606" "151" "3" 2
"607" "151" "30" 2
"608" "151" "31" 2
"609" "151" "32" 2
"610" "151" "33" 2
"611" "151" "34" 2
"612" "151" "35" 2
"613" "151" "36" 2
"614" "151" "37" 2
"615" "151" "38" 2
"616" "151" "4" 2
"617" "151" "41" 2
"618" "151" "43" 2
"619" "151" "44" 2
"620" "151" "45" 2
"621" "151" "46" 2
"622" "151" "466" 2
"623" "151" "467" 2
"624" "151" "468" 2
"625" "151" "469" 2
"626" "151" "472" 2
"627" "151" "473" 2
"628" "151" "474" 2
"629" "151" "5" 2
"630" "151" "6" 2
"631" "151" "60" 2
"632" "151" "62" 2
"633" "151" "64" 2
"634" "151" "66" 2
"635" "151" "67" 2
"636" "151" "68" 2
"637" "151" "69" 2
"638" "151" "7" 2
"639" "151" "70" 2
"640" "152" "153" 2
"641" "152" "154" 2
"642" "152" "155" 2
"643" "152" "156" 2
"644" "152" "157" 2
"645" "152" "158" 2
"646" "152" "159" 2
"647" "152" "16" 2
"648" "152" "160" 2
"649" "152" "161" 2
"650" "152" "162" 2
"651" "152" "163" 2
"652" "152" "166" 2
"653" "152" "168" 2
"654" "152" "17" 2
"655" "152" "172" 2
"656" "152" "173" 2
"657" "152" "174" 2
"658" "152" "175" 2
"659" "152" "176" 2
"660" "152" "177" 2
"661" "152" "178" 2
"662" "152" "179" 2
"663" "152" "18" 2
"664" "152" "2" 2
"665" "152" "22" 2
"666" "152" "23" 2
"667" "152" "24" 2
"668" "152" "25" 2
"669" "152" "26" 2
"670" "152" "28" 2
