"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"b60765bf2e10d524fe9872a961bc4c53"	60	11	79	35	0	0	80	161	47	128	0	96	55	0	65	0	57	152	0	0	0	0	62	20	30	0	159	0	38	14	25	95	24	0
"8b7893c890c3fc90c1548f44857cfd35"	32	0	20	0	0	0	77	126	73	74	0	159	94	50	331	0	90	139	0	0	35	0	42	0	23	28	39	0	0	0	42	0	0	18
"5253d98d25bc51baaf939f468ca8ef59"	47	21	28	44	72	59	0	54	0	0	99	24	21	0	56	0	0	83	78	122	68	0	63	66	32	38	46	80	28	37	42	24	49	70
"42aa75ceb3aa380892f5799a438967ec"	0	45	0	26	69	35	27	81	34	46	0	43	80	0	110	30	38	78	44	90	43	147	0	42	26	35	64	0	0	90	19	20	42	25
"a02848c0cbe248976cd4af4802b9ae79"	111	51	73	28	33	0	17	157	0	0	0	145	82	0	0	0	0	0	0	0	0	0	84	194	24	114	37	17	111	0	34	130	0	0
"f0493d45d43f847aafc24636fd454a71"	7	6	0	3	0	18	7	22	26	47	88	28	26	380	117	4	73	24	8	150	89	64	16	11	9	0	40	65	18	61	5	6	8	12
"da239bdbf78bd0f1cf6c0661482781dd"	0	0	0	0	0	0	9	0	32	132	0	20	0	135	246	151	302	0	0	276	0	53	0	0	0	0	0	0	0	69	0	0	0	0
"5c71abd140cf62c27dd97fb112e96f96"	0	0	0	0	52	157	22	0	35	44	44	0	27	85	73	304	62	45	0	0	99	64	0	0	0	0	0	0	0	107	0	0	99	104
"44480529c018c2d9b2795dcbcbaa1000"	69	27	31	30	66	74	0	109	3	0	52	34	22	0	0	0	0	10	0	4	40	24	93	27	46	26	83	41	63	119	38	55	90	111
"b15e35a767f8c9d193abc4f13b866315"	26	0	0	26	26	31	29	60	45	47	29	7	61	150	48	210	51	0	224	102	34	60	25	0	0	0	0	0	0	48	27	20	0	0
"aa65593d5b6bb0554ae1cd1e3df3da45"	41	22	39	26	15	20	95	49	93	194	0	39	68	2	0	0	175	41	0	0	0	21	96	29	21	40	27	35	32	0	29	36	25	32
"93e24884925cae6a2e3134217b58c675"	31	17	22	0	0	35	102	107	136	79	23	106	85	35	86	33	98	92	0	0	31	30	0	23	0	0	12	6	0	39	0	28	32	29
"7c9f454292d4c13da1c45f58c47098d0"	60	71	104	144	45	0	0	16	0	0	0	57	0	0	0	0	0	0	0	0	0	27	137	93	33	123	0	0	64	0	85	179	64	0
"522bc852651c57201b2461aff25c1997"	14	28	6	0	26	43	5	105	0	16	71	0	11	85	42	230	118	6	39	51	54	46	34	8	0	10	74	39	23	81	0	11	23	19
"826995c850aaa44b2ec407595c7627b4"	61	22	54	100	45	0	50	71	25	0	0	135	34	0	0	0	0	54	0	0	0	58	81	75	44	60	68	0	32	10	99	79	54	0
"af0f71644cecdfc76a415d319dc1b950"	51	41	88	134	104	0	0	113	0	0	0	66	4	0	0	0	0	0	0	0	0	9	94	126	51	108	0	0	69	0	69	107	56	0
"76363618e6a55a0556fa9cdda32b9519"	73	62	74	57	34	35	46	78	0	0	0	27	46	0	0	0	16	78	0	8	0	0	82	67	0	81	79	93	52	20	65	64	30	0
"608e92bae485d3cd93d70977cd760bf3"	46	0	0	102	100	60	0	0	0	0	0	0	0	0	0	0	0	0	0	57	15	62	35	32	38	0	33	195	23	26	36	0	246	146
"d913d23408b12ca79cc2924431677f76"	92	0	34	22	34	25	0	0	0	0	25	0	0	0	0	0	0	0	0	0	41	21	64	0	40	25	47	322	107	50	0	45	187	50
"1d90e2a14fcaf64ce6648221213758a8"	87	19	59	72	75	111	8	69	0	0	8	164	17	0	0	0	0	0	0	0	13	7	38	91	48	51	19	30	40	7	39	72	50	21
"671fc5cee79caa17d1e54daf80f1e2d6"	97	180	409	9	0	0	0	32	0	0	0	0	6	0	0	0	0	0	0	0	0	0	136	0	0	173	0	0	67	0	65	12	2	0
"f4c190387fd950de4d96fd5ffc84c652"	0	0	0	0	0	0	78	117	64	78	0	78	95	9	233	0	175	179	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
"3256c16e9fd07cf40ee39a27c1acb480"	0	0	0	0	0	0	0	0	38	54	0	0	0	132	229	381	100	0	0	65	52	25	0	0	0	0	0	0	0	54	0	0	0	20
"6f4f43bff5df9356d2874f564bd1baef"	59	104	107	82	33	0	0	61	0	0	0	24	12	0	0	0	0	65	0	0	0	0	99	51	31	93	0	0	128	0	94	76	21	0
"47a0efca35d4dbf628f5d8285e32c8ed"	0	0	0	0	0	0	0	343	64	65	0	0	146	0	129	0	155	152	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0
"990536f951db6508290e80df7a3456d6"	77	14	40	69	65	87	17	49	22	7	0	17	29	0	0	0	0	5	0	0	0	31	96	85	62	52	29	12	25	6	69	71	48	13
"d7cf19be385fae90fc2dae3bc9d42ea0"	27	42	16	28	0	0	50	58	37	25	0	129	16	0	0	0	31	128	0	0	0	41	48	88	35	26	44	18	40	0	44	65	24	21
"0f4ff0a2757cb518bffad2222f18376b"	25	14	19	27	12	0	25	36	56	55	0	47	64	84	111	88	98	25	0	0	22	31	10	16	15	28	0	10	16	30	15	33	30	24
"d505337de288c4c7922542cff7bac346"	24	0	19	17	44	104	0	0	11	0	75	0	0	0	0	0	0	0	69	141	65	80	23	30	30	0	39	0	23	88	20	17	65	76
"1e71b5a68bb47e71015e79f8915246a2"	33	0	34	55	84	57	0	0	0	0	196	0	0	0	0	0	0	0	0	29	57	0	58	0	44	0	38	0	34	43	30	0	97	107
"0ba372758b0ebf7a6e13ceccd86f9520"	0	0	3	0	8	43	5	8	0	20	69	0	0	104	51	212	46	45	41	34	38	0	0	0	0	0	27	119	15	74	7	5	0	22
"12f837deaf5db86e4341b80a8bd1b48b"	50	32	57	53	43	0	8	63	0	0	0	0	0	0	0	0	0	51	0	0	0	65	102	102	62	49	0	0	39	0	41	44	100	21
"eaa89df5008445000d65f6bf2e8aade1"	20	0	0	0	85	58	0	0	0	0	71	0	0	0	0	0	0	0	94	247	40	23	34	12	49	0	0	72	30	55	0	0	50	50
"2747fbbce7568bfdaeb3b8ac3d1ae403"	71	122	115	31	26	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	83	17	113	119	0	57	92	0	58	0	0
"ff53c2721b9c38e1f3750970768441c2"	73	50	74	49	16	0	30	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	93	66	35	72	34	0	136	0	82	80	24	0
"6fe704d9f1c312b674d9d59fd1ddf230"	60	36	49	78	45	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	96	60	57	38	56	10	74	22	57	45	82	17
"bd51318e79c17d62a16f7a17ed6ccde1"	62	43	58	64	41	30	0	41	0	0	33	48	0	0	0	0	0	0	11	12	10	15	74	74	30	69	38	39	40	16	34	43	42	13
"48b6a009de42cae8d7fc7f72b629d8fa"	0	0	0	0	0	14	29	63	58	121	0	51	70	71	44	96	150	73	0	0	6	0	0	0	0	0	15	8	0	88	0	0	0	17
"7e8495a6bd3f122568d5b87c8325a0c9"	64	19	35	93	27	6	25	49	15	0	0	70	42	0	0	0	0	25	0	0	0	23	68	64	28	83	21	4	50	6	54	57	15	6
"33476c65a4456debf0ba5894d83a8398"	0	8	12	0	29	56	0	10	0	46	139	0	0	16	34	0	0	4	156	65	69	7	0	6	16	0	55	0	34	84	16	7	22	47
"df5ee72bee284a0d9aca265fbb37b467"	86	27	29	100	28	0	38	12	25	0	0	16	34	0	0	0	0	19	0	0	0	6	112	48	38	92	23	0	44	4	53	76	24	0
"74da4f552f6a28050e596b9b5a9165d2"	61	0	28	31	36	50	0	23	0	19	33	12	0	0	0	0	0	12	0	0	29	39	37	64	50	19	30	24	53	41	66	78	50	39
"805d331f88bc7b2f2b82942ccd068aff"	60	0	91	136	85	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	110	67	35	59	0	0	36	0	58	31	95	20
"066d06b31dcce56fb9dde37e3298d861"	60	62	32	112	88	15	3	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	14	54	51	9	23	36	34	230	15	0
"e3e9c8872487b9fce5cc8580f4803f7a"	87	20	39	25	23	13	10	34	0	0	0	22	25	0	0	0	0	4	0	0	0	5	58	51	67	41	33	12	120	0	16	107	60	15
"0808fdf5a7ca966fc1a60393691bb308"	74	18	32	54	43	5	12	60	0	0	0	44	14	0	0	0	0	7	0	0	0	17	29	56	32	46	55	0	57	0	34	84	105	0
"7f0cc97dfa489c05cecddca79e537ae0"	16	6	26	26	34	0	4	116	72	13	0	108	17	0	0	0	41	14	0	0	0	47	44	58	14	44	16	35	16	29	11	26	32	0
"b168e66617381e8a0aabd349a9e2d5c2"	72	7	15	92	43	0	11	38	13	15	0	67	33	0	0	0	0	17	0	0	0	12	39	80	22	59	17	0	0	0	51	120	34	0
