"SRR12805327"	"SRR12805330"	"SRR12805341"	"SRR12805352"	"SRR12805363"	"SRR12805374"	"SRR12805381"	"SRR12805382"	"SRR12805383"	"SRR12805384"	"SRR12805385"	"SRR12805386"	"SRR12805387"	"SRR12805388"	"SRR12805389"	"SRR12805390"	"SRR12805391"	"SRR12805392"	"SRR12805393"	"SRR12805394"	"SRR12805395"	"SRR12805396"	"SRR12805397"	"SRR12805398"	"SRR12805399"	"SRR12805400"	"SRR12805401"	"SRR12805402"	"SRR12805403"	"SRR12805404"	"SRR12805405"	"SRR12805406"	"SRR12805407"	"SRR12805408"
"b33369fcff33a6052857b70e91a67677"	7	0	1186	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	138	15	14	21	5	0	152	515	19	75	0	0	49	34
"ec20c4158ae8572e64663bf4bcfc3c11"	27	10	20	15	41	90	85	55	88	74	51	36	61	174	78	410	113	63	43	40	25	68	60	48	31	31	35	88	40	115	24	24	54	16
"59126c9d338650496b528ac9763fef32"	71	25	38	108	49	18	152	170	161	52	0	122	123	0	30	0	188	238	0	26	0	89	50	46	40	53	38	0	57	48	97	29	66	27
"563dafa7ecbdaec2addabcff3bdce142"	0	0	0	0	0	0	43	342	63	132	0	90	153	187	245	155	261	94	0	0	0	0	61	0	0	0	40	35	0	242	0	61	0	0
"0b38f5929a79ed8f35a3e08113420bac"	19	0	0	9	0	14	45	26	124	55	12	53	50	193	13	1377	28	28	0	0	31	35	0	0	0	16	9	12	0	14	0	15	0	17
"cc5d39ebedab1a2766ecbd43fb6f649c"	47	182	63	30	128	29	4	111	0	11	76	14	41	3	0	0	9	27	13	75	0	75	341	111	76	14	48	319	190	15	15	13	60	15
"2d0a9d41eacab36b333910dcb46f06b9"	62	222	124	0	0	0	0	131	0	0	0	0	18	0	0	0	0	0	0	0	0	163	507	220	66	0	117	286	94	61	0	10	13	0
"88524108706087f7c75e79d6c10c9c61"	38	98	97	23	93	0	0	81	0	0	0	33	148	0	0	0	0	82	0	0	61	0	284	77	212	50	251	127	193	0	37	0	0	0
"3e1a26e59596ea4b27910d21a7f2685f"	0	0	0	0	0	24	0	0	0	242	69	20	11	40	0	166	0	182	341	603	115	50	0	0	10	0	26	18	0	54	0	9	10	0
"c19d28067b371cfe432f864eeb6453db"	89	34	68	144	108	80	0	64	0	11	16	19	0	0	3	0	0	11	0	17	111	31	111	67	115	25	79	139	178	111	14	72	165	54
"8df4bd0b9c72f4e5b7ed5a48ba8c1afc"	0	174	46	50	67	31	0	0	0	0	132	0	0	0	0	0	0	0	20	133	185	75	64	0	91	0	61	0	292	156	0	62	201	100
"b4c1e218247b4ad7d670d7b305c43076"	225	36	225	165	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	9	48	131	104	21	206	77	0	158	52	116	100	106	0
"670629acef7bd7aca434bff7641f8a63"	75	57	161	123	114	70	0	84	55	43	0	0	0	0	0	0	0	0	0	0	0	32	143	112	75	109	56	17	119	74	118	103	143	22
"6bd8bdc08257c42a63097ae67d5590ff"	35	10	18	20	34	144	30	15	18	69	170	31	28	45	54	11	49	89	220	179	107	132	53	31	20	19	49	22	19	52	22	21	28	35
"b7d6cf3f7467ca45087ca083796a0af0"	32	20	24	46	40	75	32	25	97	86	105	58	57	72	79	86	147	48	68	81	65	50	41	32	29	25	46	37	32	83	35	33	40	52
"919f52074a986016c7e460883cbe1484"	73	49	76	76	75	56	35	79	87	70	0	61	49	12	18	0	48	40	0	29	37	85	125	104	85	69	54	0	66	66	68	62	72	51
