"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI"
"179" "SRR12805404" "SRR12805374" 0.501814015820794 0.481026568825814 0.091286226030591 0.227717235106356
"180" "SRR12805405" "SRR12805374" 0.291180032674419 0.390299783147983 0.089278978752511 -1.11022495842311
"181" "SRR12805406" "SRR12805374" 0.353685657967564 0.497896889459362 0.100869374049415 -1.42968302173809
"182" "SRR12805407" "SRR12805374" 0.371698328809302 0.480825477649789 0.0882268168808426 -1.23689318847207
"183" "SRR12805408" "SRR12805374" 0.600411916197674 0.570067778701329 0.179235274547982 0.169297799068129
"184" "SRR12805382" "SRR12805381" 0.556396671752896 0.519339663929107 0.125067607182566 0.296295808791605
"185" "SRR12805383" "SRR12805381" 0.416301883371429 0.549125663980137 0.13563477503073 -0.979275267560373
"186" "SRR12805384" "SRR12805381" 0.440692455035714 0.548788300708834 0.142295264227388 -0.759658771920776
"187" "SRR12805385" "SRR12805381" 0.501247022496753 0.536631277873936 0.129552947535621 -0.273125822686923
"188" "SRR12805386" "SRR12805381" 0.479108576214286 0.551637209238609 0.137214646263498 -0.528577925165828
"189" "SRR12805387" "SRR12805381" 0.661062410714286 0.52071069452434 0.117960870153931 1.18981587713617
"190" "SRR12805388" "SRR12805381" 0.780812069310924 0.543365918269269 0.140067663773456 1.69522461248228
"191" "SRR12805389" "SRR12805381" 0.681112160428571 0.565914970697324 0.151485204728961 0.76045175459451
"192" "SRR12805390" "SRR12805381" 0.711800567857143 0.62465969663392 0.205498897739389 0.42404544346381
"193" "SRR12805391" "SRR12805381" 0.672323548595238 0.533976269061514 0.128316803061786 1.07816962574347
"194" "SRR12805392" "SRR12805381" 0.348355176814286 0.526811145718704 0.128073696213983 -1.39338501331498
"195" "SRR12805393" "SRR12805381" 0.660459927428571 0.55118209256487 0.138657948147774 0.788110860743729
"196" "SRR12805394" "SRR12805381" NA NA NA NA
"197" "SRR12805395" "SRR12805381" 0.519558943178571 0.565153752403725 0.150547870167392 -0.302859211322335
"198" "SRR12805396" "SRR12805381" 0.593077181107143 0.564086278344702 0.153467136262113 0.188906260118949
"199" "SRR12805397" "SRR12805381" 0.44953767773399 0.513701403711211 0.119419092052358 -0.537298725643376
"200" "SRR12805398" "SRR12805381" 0.566002767991758 0.536023466030217 0.131339313253771 0.228258403511033
"201" "SRR12805399" "SRR12805381" 0.555076329285714 0.613446326027384 0.205498907203421 -0.284040424039289
"202" "SRR12805400" "SRR12805381" 0.538358604689441 0.512459694397662 0.122420893502802 0.211556291991829
"203" "SRR12805401" "SRR12805381" 0.551388897246753 0.551271029057707 0.141911058301181 0.000830577901800853
"204" "SRR12805402" "SRR12805381" 0.46292365821131 0.506825194356322 0.120942368970368 -0.362995503716062
"205" "SRR12805403" "SRR12805381" 0.373668464243697 0.537394891669337 0.132410012238553 -1.23651093038694
"206" "SRR12805404" "SRR12805381" 0.503865706516807 0.53289538946295 0.130714243525375 -0.222085077824806
"207" "SRR12805405" "SRR12805381" 0.633054900190476 0.549437537380642 0.14094735326334 0.593252451173076
"208" "SRR12805406" "SRR12805381" 0.392886099511278 0.547600137811763 0.141461022632085 -1.09368669490583
"209" "SRR12805407" "SRR12805381" 0.36619571735 0.534597867868375 0.12778213357707 -1.31788494842126
"210" "SRR12805408" "SRR12805381" 0.464757408857143 0.621073102171886 0.19952527909358 -0.783438038652882
"211" "SRR12805383" "SRR12805382" 0.48558173107027 0.494441410497203 0.103429204826651 -0.0856593593828874
"212" "SRR12805384" "SRR12805382" 0.478667506686937 0.495635882236636 0.10498621886869 -0.16162478973476
"213" "SRR12805385" "SRR12805382" 0.321969537619779 0.48431454136672 0.0964715953001494 -1.68282698385822
"214" "SRR12805386" "SRR12805382" 0.531335220421376 0.500757818343964 0.0997882253378042 0.306422946934877
"215" "SRR12805387" "SRR12805382" 0.484725751304574 0.467659814577985 0.0772436509550052 0.220936433164317
"216" "SRR12805388" "SRR12805382" 0.642080862877583 0.493995393584432 0.105512043124543 1.40349352460512
"217" "SRR12805389" "SRR12805382" 0.466728976006006 0.514909121762156 0.120387502783831 -0.400208864226232
"218" "SRR12805390" "SRR12805382" 0.58133537172973 0.566240315154722 0.186925095432648 0.080754574660343
"219" "SRR12805391" "SRR12805382" 0.537085674058559 0.483612290524955 0.0918276256700729 0.582323490816671
"220" "SRR12805392" "SRR12805382" 0.487170103968726 0.473903351260221 0.0874387209252329 0.151726289773255
"221" "SRR12805393" "SRR12805382" 0.527666243199017 0.501263487886354 0.101571691718303 0.259942065215254
"222" "SRR12805394" "SRR12805382" NA NA NA NA
"223" "SRR12805395" "SRR12805382" 0.376177415182432 0.515299801328437 0.12140273616968 -1.14595758329168
"224" "SRR12805396" "SRR12805382" 0.529801349717182 0.511710316747479 0.11946875705049 0.151428987932441
"225" "SRR12805397" "SRR12805382" 0.459733545882106 0.462903558117102 0.0767068417210242 -0.0413263297493667
"226" "SRR12805398" "SRR12805382" 0.482043367444387 0.485656621462486 0.0966728177292666 -0.0373761115375592
