Site1	Site2	RCb
382	SRR12805389	SRR12805400	-0.515151515151515
383	SRR12805389	SRR12805401	0.595959595959596
384	SRR12805389	SRR12805402	0.353535353535354
385	SRR12805389	SRR12805403	0.252525252525253
386	SRR12805389	SRR12805404	1
387	SRR12805389	SRR12805405	0.0303030303030303
388	SRR12805389	SRR12805406	0.0707070707070707
389	SRR12805389	SRR12805407	0.555555555555556
390	SRR12805389	SRR12805408	0.838383838383838
391	SRR12805390	SRR12805391	1
392	SRR12805390	SRR12805392	1
393	SRR12805390	SRR12805393	1
394	SRR12805390	SRR12805394	1
395	SRR12805390	SRR12805395	1
396	SRR12805390	SRR12805396	1
397	SRR12805390	SRR12805397	0.818181818181818
398	SRR12805390	SRR12805398	0.575757575757576
399	SRR12805390	SRR12805399	0.656565656565657
400	SRR12805390	SRR12805400	-0.0505050505050505
401	SRR12805390	SRR12805401	0.878787878787879
402	SRR12805390	SRR12805402	0.858585858585859
403	SRR12805390	SRR12805403	0.313131313131313
404	SRR12805390	SRR12805404	1
405	SRR12805390	SRR12805405	0.535353535353535
406	SRR12805390	SRR12805406	0.737373737373737
407	SRR12805390	SRR12805407	0.656565656565657
408	SRR12805390	SRR12805408	1
409	SRR12805391	SRR12805392	0.898989898989899
410	SRR12805391	SRR12805393	1
411	SRR12805391	SRR12805394	0.818181818181818
412	SRR12805391	SRR12805395	0.858585858585859
413	SRR12805391	SRR12805396	0.616161616161616
414	SRR12805391	SRR12805397	0.95959595959596
415	SRR12805391	SRR12805398	0.232323232323232
416	SRR12805391	SRR12805399	0.0707070707070707
417	SRR12805391	SRR12805400	-0.353535353535353
418	SRR12805391	SRR12805401	0.434343434343434
419	SRR12805391	SRR12805402	0.535353535353535
420	SRR12805391	SRR12805403	0.292929292929293
421	SRR12805391	SRR12805404	0.97979797979798
422	SRR12805391	SRR12805405	-0.353535353535353
423	SRR12805391	SRR12805406	0.0707070707070707
424	SRR12805391	SRR12805407	0.555555555555556
425	SRR12805391	SRR12805408	0.535353535353535
426	SRR12805392	SRR12805393	0.898989898989899
427	SRR12805392	SRR12805394	0.757575757575758
428	SRR12805392	SRR12805395	0.535353535353535
429	SRR12805392	SRR12805396	0.696969696969697
430	SRR12805392	SRR12805397	0.818181818181818
431	SRR12805392	SRR12805398	0.838383838383838
432	SRR12805392	SRR12805399	0.838383838383838
433	SRR12805392	SRR12805400	0.494949494949495
434	SRR12805392	SRR12805401	0.919191919191919
435	SRR12805392	SRR12805402	0.797979797979798
436	SRR12805392	SRR12805403	0.797979797979798
437	SRR12805392	SRR12805404	0.353535353535354
438	SRR12805392	SRR12805405	0.696969696969697
439	SRR12805392	SRR12805406	0.858585858585859
440	SRR12805392	SRR12805407	0.939393939393939
441	SRR12805392	SRR12805408	0.191919191919192
442	SRR12805393	SRR12805394	1
443	SRR12805393	SRR12805395	1
444	SRR12805393	SRR12805396	0.95959595959596
445	SRR12805393	SRR12805397	0.838383838383838
446	SRR12805393	SRR12805398	0.818181818181818
447	SRR12805393	SRR12805399	0.838383838383838
448	SRR12805393	SRR12805400	0.0707070707070707
449	SRR12805393	SRR12805401	0.95959595959596
450	SRR12805393	SRR12805402	0.97979797979798
451	SRR12805393	SRR12805403	0.919191919191919
452	SRR12805393	SRR12805404	0.97979797979798
453	SRR12805393	SRR12805405	0.595959595959596
454	SRR12805393	SRR12805406	0.636363636363636
455	SRR12805393	SRR12805407	0.919191919191919
456	SRR12805393	SRR12805408	1
457	SRR12805394	SRR12805395	1
458	SRR12805394	SRR12805396	0.878787878787879
459	SRR12805394	SRR12805397	0.878787878787879
460	SRR12805394	SRR12805398	0.898989898989899
461	SRR12805394	SRR12805399	0.737373737373737
462	SRR12805394	SRR12805400	-0.0909090909090909
463	SRR12805394	SRR12805401	0.97979797979798
464	SRR12805394	SRR12805402	0.353535353535354
465	SRR12805394	SRR12805403	0.717171717171717
466	SRR12805394	SRR12805404	1
467	SRR12805394	SRR12805405	0.636363636363636
468	SRR12805394	SRR12805406	0.272727272727273
469	SRR12805394	SRR12805407	0.95959595959596
470	SRR12805394	SRR12805408	0.97979797979798
471	SRR12805395	SRR12805396	0.818181818181818
472	SRR12805395	SRR12805397	0.878787878787879
473	SRR12805395	SRR12805398	-0.111111111111111
474	SRR12805395	SRR12805399	0.616161616161616
475	SRR12805395	SRR12805400	-0.313131313131313
476	SRR12805395	SRR12805401	0.95959595959596
477	SRR12805395	SRR12805402	0.656565656565657
478	SRR12805395	SRR12805403	-0.0303030303030303
479	SRR12805395	SRR12805404	1
480	SRR12805395	SRR12805405	0.131313131313131
481	SRR12805395	SRR12805406	0.191919191919192
482	SRR12805395	SRR12805407	0.616161616161616
483	SRR12805395	SRR12805408	1
484	SRR12805396	SRR12805397	1
485	SRR12805396	SRR12805398	1
486	SRR12805396	SRR12805399	1
487	SRR12805396	SRR12805400	0.97979797979798
488	SRR12805396	SRR12805401	1
489	SRR12805396	SRR12805402	0.494949494949495
490	SRR12805396	SRR12805403	0.939393939393939
491	SRR12805396	SRR12805404	0.878787878787879
492	SRR12805396	SRR12805405	0.95959595959596
493	SRR12805396	SRR12805406	1
494	SRR12805396	SRR12805407	1
495	SRR12805396	SRR12805408	1
496	SRR12805397	SRR12805398	1
497	SRR12805397	SRR12805399	1
498	SRR12805397	SRR12805400	0.97979797979798
499	SRR12805397	SRR12805401	1
500	SRR12805397	SRR12805402	1
501	SRR12805397	SRR12805403	1
502	SRR12805397	SRR12805404	1
503	SRR12805397	SRR12805405	1
504	SRR12805397	SRR12805406	0.97979797979798
505	SRR12805397	SRR12805407	1
506	SRR12805397	SRR12805408	0.919191919191919
507	SRR12805398	SRR12805399	1
508	SRR12805398	SRR12805400	1
509	SRR12805398	SRR12805401	1
510	SRR12805398	SRR12805402	0.777777777777778
511	SRR12805398	SRR12805403	1
512	SRR12805398	SRR12805404	0.636363636363636
513	SRR12805398	SRR12805405	1
514	SRR12805398	SRR12805406	1
515	SRR12805398	SRR12805407	1
516	SRR12805398	SRR12805408	0.898989898989899
517	SRR12805399	SRR12805400	0.97979797979798
518	SRR12805399	SRR12805401	1
519	SRR12805399	SRR12805402	0.878787878787879
520	SRR12805399	SRR12805403	1
521	SRR12805399	SRR12805404	0.95959595959596
522	SRR12805399	SRR12805405	1
523	SRR12805399	SRR12805406	1
524	SRR12805399	SRR12805407	1
525	SRR12805399	SRR12805408	0.95959595959596
526	SRR12805400	SRR12805401	1
527	SRR12805400	SRR12805402	0.939393939393939
528	SRR12805400	SRR12805403	0.97979797979798
529	SRR12805400	SRR12805404	0.212121212121212
530	SRR12805400	SRR12805405	1
