"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"bb7009c1d3b7c2987535c5f0935d4f7b","Bacteria","Patescibacteria","Microgenomatia","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"752e4bb29ba71acd5f6b9e068a1b4bde","Bacteria","Patescibacteria","Microgenomatia","Candidatus Amesbacteria",NA,NA,NA
"57f2dab4e2597202c8d404c872706aa1","Bacteria","Patescibacteria","Gracilibacteria","uncultured marine bacterium","uncultured marine bacterium","uncultured marine bacterium","uncultured marine bacterium"
"13e0b45c9ce6cd042f4aa067a988284b","Bacteria","Patescibacteria","Parcubacteria","Candidatus Yonathbacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"6020b08a466b15c739bc3e3b713ff9dd","Bacteria","Patescibacteria","Parcubacteria","Candidatus Kaiserbacteria",NA,NA,NA
"7891b48e674d451871050ef515e765cf","Bacteria","Patescibacteria","Parcubacteria","Candidatus Kaiserbacteria","uncultured organism","uncultured organism","uncultured organism"
"06bbd5b4c8e284317a7d86fa9a29c994","Bacteria","Patescibacteria","Parcubacteria","Candidatus Kaiserbacteria",NA,NA,NA
"d40cb2927e02e5382c41b150421c183e","Bacteria","Patescibacteria","Parcubacteria","Candidatus Nomurabacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"3010ba44b79ff55ff4e5baa8336d4c9f","Bacteria","Patescibacteria","Parcubacteria","Candidatus Zambryskibacteria","metagenome","metagenome","metagenome"
"70aeda6a8f19ca6a14c0a9f377022cc4","Bacteria","Patescibacteria","Parcubacteria","Candidatus Zambryskibacteria","metagenome","metagenome","metagenome"
"edee0ab99c331c13cd57cfb57a10fe0a","Bacteria","Patescibacteria","Parcubacteria","Candidatus Kaiserbacteria","metagenome","metagenome","metagenome"
"e433f31a1a7194e9862ef1420cc1b8c9","Bacteria","Patescibacteria","Parcubacteria","Candidatus Nomurabacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"36ea6008ef3896c8e7ef1b81ae60955a","Bacteria","Patescibacteria","Parcubacteria","Candidatus Campbellbacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"e308263e792da19dfd1e3035135b48ff","Bacteria","Patescibacteria","Parcubacteria","Candidatus Campbellbacteria","marine metagenome","marine metagenome","marine metagenome"
"3b54fe65617fd4392497b71a8a07c671","Bacteria","Patescibacteria","Parcubacteria","Candidatus Nomurabacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"8cea68e7a929f2147b2642d12c4b0c9c","Bacteria","Patescibacteria","Parcubacteria","Candidatus Moranbacteria","uncultured soil bacterium","uncultured soil bacterium","uncultured soil bacterium"
"53e00e8248a4ed0ee0aeb7e73605315e","Bacteria","Patescibacteria","ABY1","Candidatus Falkowbacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"e61162196fc73619ed7ca590fa6fbfd8","Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"0065f3add4d435cb23dc9c68ef0731d3","Bacteria","Patescibacteria","Gracilibacteria","metagenome","metagenome","metagenome","metagenome"
"da1e54ed5f18fa8acd857b38a62a7db9","Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria bacterium oral taxon 873","Gracilibacteria bacterium oral taxon 873","Gracilibacteria bacterium oral taxon 873","Gracilibacteria bacterium oral taxon 873"
"0cd0d6589bbe0dcca34d0c1cb52edc66","Bacteria","Patescibacteria","Microgenomatia","Candidatus Pacebacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"8b4e9906673461f5f0dedd96496ba451","Bacteria","Patescibacteria","WS6 (Dojkabacteria)",NA,NA,NA,NA
"8b1e2ab52b6963ce00e0147ba56830e4","Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA,NA
"34e27fa1551d50235396d77afbcf4b16","Bacteria","Patescibacteria","Parcubacteria","metagenome","metagenome","metagenome","metagenome"
"35b2ed75c1c29fe3cba89685961c7ce4","Bacteria",NA,NA,NA,NA,NA,NA
"db5edfdaacb8965fc8e1f7fa74bb6f0f","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"4bcec6114d8dfea7e3a38498aed41e09","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"53d82652467a86d77b2a77eeaa563102","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)",NA,NA,NA
"a12b1208aade20792637c4cd147ab3ff","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","uncultured candidate division SR1 bacterium","uncultured candidate division SR1 bacterium","uncultured candidate division SR1 bacterium"
"12e065e56d32df3f03aa695988023fc1","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)",NA,NA,NA
"0e7ec959cb2a0a1a1aa786e0f672806d","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","metagenome","metagenome","metagenome"
"6fe367181b57e995d90dd52d79c6a0a3","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","metagenome","metagenome","metagenome"
