	Kingdom	Phylum	Class	Order	Family	Genus	Species
3256c16e9fd07cf40ee39a27c1acb480	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	NA
1aa45332969575442e0a457ef371669d	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA
6f4f43bff5df9356d2874f564bd1baef	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	NA	NA
9a8af35bd112f35277f324e2b0199ba5	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA
2eedcb5992e784dcd0217b8cb29aa2cd	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera	uncultured bacterium
47a0efca35d4dbf628f5d8285e32c8ed	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon PCC-7430	uncultured bacterium
990536f951db6508290e80df7a3456d6	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	uncultured bacterium
56a1a017ca6bf9e59502772a012d5238	Bacteria	Cyanobacteria	Oxyphotobacteria	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon PCC-7430	uncultured bacterium
d7cf19be385fae90fc2dae3bc9d42ea0	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Blastocatellales	Blastocatellaceae	NA	NA
0f4ff0a2757cb518bffad2222f18376b	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA
295d94fd5c278d3ac45c413c55d6b143	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	SH-PL14	uncultured planctomycete
d505337de288c4c7922542cff7bac346	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	uncultured bacterium
ce642208dc19c153299d65fe58198902	Bacteria	Verrucomicrobia	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA
e3ea45332f013f77b19e9909de7d0072	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	uncultured bacterium
4e4f1228dedebaa402708cd89682f15e	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA
9c25600afc7384348df200331b85ca0a	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA
3fec08626016e02dd5e742a43007a120	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	uncultured bacterium	uncultured bacterium
