"","Sum","corrcoeff","R.Procrustes","Rank","Type","Truncated"
"0.953",0,NA,NA,"Family","Dominant",0.05
"0.993",0,NA,NA,"Family","Dominant",0.01
"0.014",90523,0.999795612024714,0.999794129223204,"Genus","Dominant",0.99
"0.054",86854,0.999075228177395,0.999773169917276,"Genus","Dominant",0.95
"0.14",82050,0.997902510286411,0.998913232160738,"Genus","Dominant",0.9
"0.154",77485,0.995426400225162,0.997586634428588,"Genus","Dominant",0.85
"0.24",72992,0.994783080696393,0.998051023965658,"Genus","Dominant",0.8
"0.254",67809,0.992591773551526,0.996546413383923,"Genus","Dominant",0.75
"0.34",63738,0.987307841797006,0.992431659156092,"Genus","Dominant",0.7
"0.354",58792,0.979581306206693,0.978215736378734,"Genus","Dominant",0.65
"0.44",54622,0.974190154530712,0.970110433599112,"Genus","Dominant",0.6
"0.454",49329,0.959269832334848,0.964856710996394,"Genus","Dominant",0.55
"0.54",43108,0.946520713548577,0.934417660258862,"Genus","Dominant",0.5
"0.554",39943,0.949754064305148,0.936087812744107,"Genus","Dominant",0.45
"0.64",36082,0.952414458606409,0.938479375418023,"Genus","Dominant",0.4
"0.654",27237,0.925656386956697,0.93690830494362,"Genus","Dominant",0.35
"0.74",27237,0.925656386956697,0.93690830494362,"Genus","Dominant",0.3
"0.754",22215,0.850377950223151,0.663833550724724,"Genus","Dominant",0.25
"0.84",14897,NA,NA,"Genus","Dominant",0.2
"0.854",0,NA,NA,"Genus","Dominant",0.15
"0.94",0,NA,NA,"Genus","Dominant",0.1
"0.954",0,NA,NA,"Genus","Dominant",0.05
"0.994",0,NA,NA,"Genus","Dominant",0.01
"0.015",90521,0.999658236500342,0.998794522912175,"Species","Dominant",0.99
"0.055",86857,0.997111763365633,0.996556801051667,"Species","Dominant",0.95
"0.16",81557,0.989971586720813,0.995104634136582,"Species","Dominant",0.9
"0.155",77567,0.969117311996569,0.908797751709791,"Species","Dominant",0.85
"0.26",72909,0.96230884698377,0.921836498913443,"Species","Dominant",0.8
"0.255",66306,0.967767011110664,0.922554165070618,"Species","Dominant",0.75
"0.36",62341,0.955667913098254,0.918410752634081,"Species","Dominant",0.7
"0.355",57382,0.845717234262126,0.89628020503204,"Species","Dominant",0.65
"0.46",51630,0.634875959953359,0.639433657451028,"Species","Dominant",0.6
"0.455",43891,NA,NA,"Species","Dominant",0.55
"0.56",43891,NA,NA,"Species","Dominant",0.5
"0.555",0,NA,NA,"Species","Dominant",0.45
"0.66",0,NA,NA,"Species","Dominant",0.4
"0.655",0,NA,NA,"Species","Dominant",0.35
"0.76",0,NA,NA,"Species","Dominant",0.3
"0.755",0,NA,NA,"Species","Dominant",0.25
"0.86",0,NA,NA,"Species","Dominant",0.2
"0.855",0,NA,NA,"Species","Dominant",0.15
"0.96",0,NA,NA,"Species","Dominant",0.1
"0.955",0,NA,NA,"Species","Dominant",0.05
"0.995",0,NA,NA,"Species","Dominant",0.01
"0.016",90522,0.999936329211487,0.999999586663658,"Classified","Dominant",0.99
"0.056",86859,0.999721859187024,0.99999953390744,"Classified","Dominant",0.95
"0.17",82289,0.999359941020743,0.999999625403436,"Classified","Dominant",0.9
"0.156",77693,0.998096521578229,0.999999580783593,"Classified","Dominant",0.85
"0.27",73084,0.997288883533753,0.999999591930331,"Classified","Dominant",0.8
"0.256",68397,0.98761835022545,0.999999478943507,"Classified","Dominant",0.75
"0.37",63969,0.986434822898552,0.999999586652372,"Classified","Dominant",0.7
"0.356",59148,0.986106251572672,0.999999557576357,"Classified","Dominant",0.65
"0.47",54417,0.97328672868221,0.99999964909365,"Classified","Dominant",0.6
"0.456",49799,0.971297101435935,0.999999662618702,"Classified","Dominant",0.55
"0.57",45017,0.966864896389847,0.999999631896084,"Classified","Dominant",0.5
"0.556",40925,0.880647928666643,0.999989816064586,"Classified","Dominant",0.45
"0.67",35476,0.871787365202149,0.999999707492142,"Classified","Dominant",0.4
"0.656",31423,0.859870969800528,0.99999945640931,"Classified","Dominant",0.35
"0.77",26507,0.859631495112298,0.954767440632813,"Classified","Dominant",0.3
"0.756",22750,0.860400512420979,0.946979860733124,"Classified","Dominant",0.25
"0.87",16189,0.785228666572935,0.861311588218313,"Classified","Dominant",0.2
"0.856",11020,NA,NA,"Classified","Dominant",0.15
"0.97",8190,NA,NA,"Classified","Dominant",0.1
"0.956",0,NA,NA,"Classified","Dominant",0.05
"0.996",0,NA,NA,"Classified","Dominant",0.01
"0.017",206584,0.999905342678539,0.999999814898877,"Total","Dominant",0.99
"0.057",198238,0.999612155101203,0.999999892311747,"Total","Dominant",0.95
"0.18",187764,0.999050910310304,0.999999179928336,"Total","Dominant",0.9
"0.157",177299,0.998273544390969,0.999999878640017,"Total","Dominant",0.85
"0.28",166770,0.99748110025337,0.999999794208442,"Total","Dominant",0.8
"0.257",156320,0.997017026202388,0.999999906787828,"Total","Dominant",0.75
"0.38",145849,0.996206153131357,0.999999756108695,"Total","Dominant",0.7
"0.357",135304,0.991114741431227,0.999999845033901,"Total","Dominant",0.65
"0.48",125094,0.970646897818037,0.999999840736844,"Total","Dominant",0.6
"0.457",114608,0.964603883009756,0.999999836828105,"Total","Dominant",0.55
"0.58",103696,0.933576260539733,0.999999875850558,"Total","Dominant",0.5
"0.557",93663,0.927452828567382,0.999999596761733,"Total","Dominant",0.45
"0.68",83118,0.922974533199631,0.999997894318594,"Total","Dominant",0.4
"0.657",71973,0.875425743028826,0.999998653378444,"Total","Dominant",0.35
"0.78",61299,0.86686924529796,0.999991428847823,"Total","Dominant",0.3
"0.757",51082,0.863643741632905,0.99952464586688,"Total","Dominant",0.25
"0.88",41334,0.853723383906022,0.925199695544677,"Total","Dominant",0.2
"0.857",28847,0.792344638980483,0.861345990315847,"Total","Dominant",0.15
"0.98",18020,NA,NA,"Total","Dominant",0.1
"0.957",0,NA,NA,"Total","Dominant",0.05
"0.997",0,NA,NA,"Total","Dominant",0.01
