"","Sum","corrcoeff","R.Procrustes","Rank","Type","Truncated"
"0.42",188739,0.95039069498149,0.949316102921538,"Order","Dominant",0.6
"0.452",170996,0.939554753880617,0.923504979672219,"Order","Dominant",0.55
"0.52",149478,0.915529727311004,0.933080614515165,"Order","Dominant",0.5
"0.552",133893,0.894224296981842,0.907106702303712,"Order","Dominant",0.45
"0.62",116830,0.843902315406354,0.7957464284222,"Order","Dominant",0.4
"0.652",98011,0.831966704511798,0.768288434399019,"Order","Dominant",0.35
"0.72",77643,0.764205048528259,0.753615524792181,"Order","Dominant",0.3
"0.752",77643,0.764205048528259,0.753615524792181,"Order","Dominant",0.25
"0.82",56225,0.534892514824393,0.532686921551148,"Order","Dominant",0.2
"0.852",32273,NA,NA,"Order","Dominant",0.15
"0.92",0,NA,NA,"Order","Dominant",0.1
"0.952",0,NA,NA,"Order","Dominant",0.05
"0.992",0,NA,NA,"Order","Dominant",0.01
"0.013",311465,0.999831849376879,0.999742076598961,"Family","Dominant",0.99
"0.053",298916,0.999177382569337,0.982830802647112,"Family","Dominant",0.95
"0.13",282537,0.994757965717178,0.981545659129747,"Family","Dominant",0.9
"0.153",266067,0.992065693177349,0.97829754894999,"Family","Dominant",0.85
"0.23",251291,0.987555643662659,0.981017231312375,"Family","Dominant",0.8
"0.253",234979,0.979571028310878,0.972871469266336,"Family","Dominant",0.75
"0.33",217721,0.971059245761245,0.959615223597962,"Family","Dominant",0.7
"0.353",204340,0.96518622156478,0.956764414335843,"Family","Dominant",0.65
"0.43",183163,0.94958399427805,0.932538382934516,"Family","Dominant",0.6
"0.453",171405,0.93723335669021,0.911517899061089,"Family","Dominant",0.55
"0.53",152088,0.932598611790654,0.904695414879576,"Family","Dominant",0.5
"0.553",137088,0.896359886055917,0.897432793569489,"Family","Dominant",0.45
"0.63",120593,0.875752028211369,0.876323133543859,"Family","Dominant",0.4
"0.653",101135,0.836892680060094,0.87535664788785,"Family","Dominant",0.35
"0.73",90236,0.830413707222263,0.811688244902362,"Family","Dominant",0.3
"0.753",76162,0.792151555916913,0.810867015572242,"Family","Dominant",0.25
"0.83",54744,0.559414053137409,0.573447276804402,"Family","Dominant",0.2
"0.853",32273,NA,NA,"Family","Dominant",0.15
"0.93",0,NA,NA,"Family","Dominant",0.1
"0.953",0,NA,NA,"Family","Dominant",0.05
"0.993",0,NA,NA,"Family","Dominant",0.01
"0.014",311473,0.999762234794572,0.992186011184254,"Genus","Dominant",0.99
"0.054",298683,0.99816916364163,0.991025422282015,"Genus","Dominant",0.95
"0.14",282906,0.995950694728235,0.995022904537684,"Genus","Dominant",0.9
"0.154",267047,0.988279879273927,0.989509618768719,"Genus","Dominant",0.85
"0.24",251576,0.984429510874172,0.988009600094135,"Genus","Dominant",0.8
"0.254",233380,0.973550065788348,0.985087210850162,"Genus","Dominant",0.75
"0.34",217732,0.96625365231929,0.98313789562677,"Genus","Dominant",0.7
"0.354",202883,0.948760372393651,0.975280971800821,"Genus","Dominant",0.65
"0.44",185489,0.938422866744987,0.944503387428152,"Genus","Dominant",0.6
"0.454",172628,0.927437645705905,0.936068414052388,"Genus","Dominant",0.55
"0.54",152217,0.89247637704341,0.915239217553938,"Genus","Dominant",0.5
"0.554",136405,0.886417961506802,0.910179963975168,"Genus","Dominant",0.45
"0.64",123549,0.858342766230019,0.894078255150516,"Genus","Dominant",0.4
"0.654",108986,0.768008946028766,0.851862474094584,"Genus","Dominant",0.35
"0.74",91806,0.660708505262501,0.631392799725356,"Genus","Dominant",0.3
"0.754",68975,0.631064015699547,0.606028846044017,"Genus","Dominant",0.25
"0.84",43908,NA,NA,"Genus","Dominant",0.2
"0.854",43908,NA,NA,"Genus","Dominant",0.15
"0.94",0,NA,NA,"Genus","Dominant",0.1
"0.954",0,NA,NA,"Genus","Dominant",0.05
"0.994",0,NA,NA,"Genus","Dominant",0.01
"0.015",311474,0.999540350120556,0.999241863415258,"Species","Dominant",0.99
"0.055",298585,0.996635381773805,0.98167681556383,"Species","Dominant",0.95
"0.16",283104,0.987262499522191,0.961071813541244,"Species","Dominant",0.9
"0.155",266166,0.970205017808112,0.947759026980326,"Species","Dominant",0.85
"0.26",248314,0.946610093208241,0.952453063225076,"Species","Dominant",0.8
"0.255",234781,0.928311506577242,0.939085290862902,"Species","Dominant",0.75
"0.36",219095,0.880746850885082,0.899427030630521,"Species","Dominant",0.7
"0.355",200112,0.853326963213354,0.876203122518164,"Species","Dominant",0.65
"0.46",185690,0.627572256823791,0.541984652380866,"Species","Dominant",0.6
"0.455",165447,0.564752578791586,0.568240062667562,"Species","Dominant",0.55
"0.56",143216,NA,NA,"Species","Dominant",0.5
"0.555",0,NA,NA,"Species","Dominant",0.45
"0.66",0,NA,NA,"Species","Dominant",0.4
"0.655",0,NA,NA,"Species","Dominant",0.35
"0.76",0,NA,NA,"Species","Dominant",0.3
"0.755",0,NA,NA,"Species","Dominant",0.25
"0.86",0,NA,NA,"Species","Dominant",0.2
"0.855",0,NA,NA,"Species","Dominant",0.15
"0.96",0,NA,NA,"Species","Dominant",0.1
"0.955",0,NA,NA,"Species","Dominant",0.05
"0.995",0,NA,NA,"Species","Dominant",0.01
"0.016",311530,0.999987877563134,0.999954061690638,"Classified","Dominant",0.99
"0.056",298904,0.999818245642254,0.9998261904373,"Classified","Dominant",0.95
"0.17",283188,0.999374621415642,0.999691981725173,"Classified","Dominant",0.9
"0.156",267428,0.998778682516039,0.999426083432253,"Classified","Dominant",0.85
"0.27",251671,0.997489303244546,0.999078211920104,"Classified","Dominant",0.8
"0.256",235679,0.996516418984586,0.998693426868143,"Classified","Dominant",0.75
"0.37",220125,0.99323463020821,0.981199310000516,"Classified","Dominant",0.7
"0.356",204030,0.987710580367561,0.825024587205441,"Classified","Dominant",0.65
"0.47",188632,0.984849795389118,0.824008040889122,"Classified","Dominant",0.6
"0.456",172213,0.977834888427634,0.818496836063985,"Classified","Dominant",0.55
"0.57",156793,0.974409118782839,0.821253009476267,"Classified","Dominant",0.5
"0.556",140970,0.960552724368325,0.814821357862357,"Classified","Dominant",0.45
"0.67",124177,0.950364932155585,0.811980244420859,"Classified","Dominant",0.4
"0.656",106853,0.910557677476352,0.960415814744682,"Classified","Dominant",0.35
"0.77",90677,0.908384620499872,0.806394118437062,"Classified","Dominant",0.3
"0.756",76044,0.84020283691961,0.938491693429875,"Classified","Dominant",0.25
"0.87",59453,NA,NA,"Classified","Dominant",0.2
"0.856",45790,NA,NA,"Classified","Dominant",0.15
"0.97",17180,NA,NA,"Classified","Dominant",0.1
"0.956",0,NA,NA,"Classified","Dominant",0.05
"0.996",0,NA,NA,"Classified","Dominant",0.01
"0.017",654190,0.999989109427367,0.986617594195233,"Total","Dominant",0.99
"0.057",627747,0.99988025682724,0.986763100448526,"Total","Dominant",0.95
"0.18",594625,0.999612543387287,0.981050816610069,"Total","Dominant",0.9
"0.157",561520,0.999292327468024,0.953679623719356,"Total","Dominant",0.85
"0.28",528333,0.998687179670618,0.815508126977473,"Total","Dominant",0.8
"0.257",495581,0.998163461011154,0.936283429194023,"Total","Dominant",0.75
"0.38",462086,0.997115312314478,0.888888372542232,"Total","Dominant",0.7
"0.357",428743,0.995496110292914,0.957868890814105,"Total","Dominant",0.65
"0.48",395897,0.993278218964046,0.954106154455651,"Total","Dominant",0.6
"0.457",363286,0.991017551979439,0.966948283194364,"Total","Dominant",0.55
"0.58",329383,0.986128067635287,0.837978939272136,"Total","Dominant",0.5
"0.557",296860,0.981604812374557,0.833450267709162,"Total","Dominant",0.45
"0.68",263384,0.974487934124271,0.816500082006213,"Total","Dominant",0.4
"0.657",228164,0.968622348979007,0.882486587347284,"Total","Dominant",0.35
"0.78",197483,0.965676386397537,0.789842263066734,"Total","Dominant",0.3
"0.757",164106,0.920312863831319,0.873052716846383,"Total","Dominant",0.25
"0.88",130387,NA,NA,"Total","Dominant",0.2
"0.857",97927,NA,NA,"Total","Dominant",0.15
"0.98",52137,NA,NA,"Total","Dominant",0.1
"0.957",31521,NA,NA,"Total","Dominant",0.05
"0.997",0,NA,NA,"Total","Dominant",0.01
