"Sample_1" "Sample_2" "bMNTD" "mean_bMNTD" "sd_bMNTD" "bNTI" "Glacier_1" "Glacier_2" "Glacier"
"85" 94 63 0.00950261662307482 0.305400660192164 0.170908956848595 -1.73131969807304 "Commonwealth" "Commonwealth" "Commonwealth"
"86" 95 63 0.0521014439925819 0.309631181614362 0.154431332068355 -1.66760031253108 "Commonwealth" "Commonwealth" "Commonwealth"
"87" 65 64 0.708810472465128 0.0685541196588091 0.0562048355323933 11.3914816535191 "Commonwealth" "Commonwealth" "Commonwealth"
"88" 90 64 2.2285182033935 0.258268486828855 0.140496529837457 14.0234760164116 "Commonwealth" "Commonwealth" "Commonwealth"
"89" 91 64 2.15735210764985 0.244523336323384 0.117950711738538 16.2171871888882 "Commonwealth" "Commonwealth" "Commonwealth"
"90" 92 64 2.14685368059601 0.253443197806943 0.114544774093241 16.5298722510711 "Commonwealth" "Commonwealth" "Commonwealth"
"91" 93 64 2.12615995085405 0.249560752384948 0.103158410410295 18.1914319056027 "Commonwealth" "Commonwealth" "Commonwealth"
"92" 94 64 2.15607001526894 0.246187587244663 0.112830932396475 16.9269400461318 "Commonwealth" "Commonwealth" "Commonwealth"
"93" 95 64 2.13044052340527 0.255768206441087 0.105241734672037 17.8130123263949 "Commonwealth" "Commonwealth" "Commonwealth"
"94" 90 65 0.430919919718859 0.250955533779074 0.133604259769744 1.34699586861929 "Commonwealth" "Commonwealth" "Commonwealth"
"95" 91 65 0.389994643895443 0.234842858734663 0.107446197684686 1.44399512038659 "Commonwealth" "Commonwealth" "Commonwealth"
"96" 92 65 0.39240080686571 0.244659966643211 0.107048502333226 1.38012991309868 "Commonwealth" "Commonwealth" "Commonwealth"
"97" 93 65 0.368130756388697 0.238556949614696 0.0967733218484364 1.33894139726789 "Commonwealth" "Commonwealth" "Commonwealth"
"98" 94 65 0.392311348499635 0.236091480182556 0.105766018132043 1.47703270933437 "Commonwealth" "Commonwealth" "Commonwealth"
"99" 95 65 0.380188350726479 0.244573119780994 0.0958652553458383 1.41464423639458 "Commonwealth" "Commonwealth" "Commonwealth"
"100" 67 66 0.0634867792006113 0.132900559322965 0.0629470284768815 -1.10273323144788 "Kangerlussuaq" "Kangerlussuaq" "Kangerlussuaq"
"101" 68 66 0.0774150824242496 0.133618855989669 0.0648927160217452 -0.866102962104186 "Kangerlussuaq" "Kangerlussuaq" "Kangerlussuaq"
"102" 68 67 0.0304137951439491 0.130437272076313 0.0661814837507189 -1.51135138204388 "Kangerlussuaq" "Kangerlussuaq" "Kangerlussuaq"
"103" 70 69 0.0372341935765252 0.0697588216980594 0.0366061694165225 -0.888501272871614 "Storglaciären" "Storglaciären" "Storglaciären"
"104" 71 69 1.04211216886517 0.186407516844336 0.0852780932215436 10.0342845353941 "Storglaciären" "Storglaciären" "Storglaciären"
"105" 71 70 0.514019314553545 0.171409596414229 0.0650883742747987 5.26376210739019 "Storglaciären" "Storglaciären" "Storglaciären"
"106" 73 72 0.0442974518104604 0.146377869496247 0.0436581467498762 -2.33817569652281 "Midre Lovenbreen" "Midre Lovenbreen" "Midre Lovenbreen"
